Macroregiao,name,Populacao,Crime/1000hab,Furto/1000hab,Roubo/1000hab,HomDol/1000hab,PosseDrogas/1000hab,Trafico/1000hab,Educacao,Renda,Saúde,PIB,PIB por habitante,regiao
Centro-Oeste,ITAQUI,39201,17.2954771562,8.6222290248,1.3520063264,0,1.2244585597,3.9539807658,0.70844217608042,0.643262548023086,0.732856620550148,8312419533,112149.04,Female
Centro-Oeste,IVORA,2121,10.843941537,10.372465818,0,0,0,0,0.771040616846762,0.621333668119183,0.842754301077677,326146311,82520.69,Female
Centro-Oeste,JAGUARI,11247,8.5356094959,5.7793189295,0.3556503957,0,0.2667377967,0.7113007913,0.69257947747165,0.640318809725282,0.822985654062328,1512973870,71884.7,Female
Centro-Oeste,JARI,3566,8.9736399327,8.4127874369,0,0,0,0,0.54297774523339,0.699771792895489,0.819839665339944,925253631,148077.07,Female
Centro-Oeste,JULIO DE CASTILHOS,19722,19.4199371261,13.2339519319,1.4704391035,0.15211439,0.8112767468,0.5070479667,0.707965628774723,0.777545102826118,0.815823635401979,5165859709,156127.6,Female
Centro-Oeste,MACAMBARA,4427,8.809577592,8.1319177773,0,0,0,0.2258866049,0.637832621145949,0.689401623323586,0.824722084489792,1504839155,151613.76,Female
Centro-Oeste,MANOEL VIANA,6763,11.3854798166,8.1324855833,0.2957267485,0,0.2957267485,0.4435901227,0.59078356755384,0.651355249779009,0.802312102007304,1229878855,93664.42,Female
Centro-Oeste,MATA,4923,12.3908186065,10.3595368678,0,0,0,0,0.619958528445675,0.548020116326506,0.80212593614909,628149872,67630.09,Female
Centro-Oeste,NOVA ESPERANCA DO SUL,4807,8.9452881215,6.656958602,0,0,0.4160599126,0,0.748205340537069,0.679136436205334,0.808817455416488,1094605893,111836.31,Female
Centro-Oeste,NOVA PALMA,6310,11.2519809826,8.0824088748,0.6339144216,0,0,0,0.709176042645999,0.746089045136106,0.870117420476019,1622355721,112971.37,Female
Centro-Oeste,PARAISO DO SUL,7318,6.8324678874,5.4659743099,0.2732987155,0,0,0,0.581728763837198,0.595430445040623,0.792460742299696,953844246,67927.72,Female
Centro-Oeste,PINHAL GRANDE,4369,10.7576104372,8.9265278096,0.2288853285,0,0,0,0.643044299798381,0.581380811575891,0.865917689267729,3319978293,248726.76,Female
Centro-Oeste,QUARAI,22603,18.4046365527,14.4228642216,0.3981772331,0.0442419148,0.4866610627,0.2654514887,0.706606234603554,0.525982878908107,0.756029751486158,2736526791,61755.16,Female
Centro-Oeste,QUEVEDOS,2798,7.1479628306,6.7905646891,0,0,0,0,0.575303218592921,0.715916569997916,0.844275806000207,781310819,164800.37,Female
Centro-Oeste,RESTINGA SECA,15968,13.6523046092,9.5816633267,0.8141282565,0.125250501,0.4383767535,0.501002004,0.628922841902886,0.605694353059371,0.806465171181629,2568374406,84825.06,Female
Centro-Oeste,ROSARIO DO SUL,40814,22.1247611114,16.3914343118,1.396579605,0.1960111726,0.93105307,0.5145293282,0.63982007837341,0.598982190917945,0.784780287452047,5766249999,79079.32,Female
Centro-Oeste,SANTA MARGARIDA DO SUL,2483,12.082158679,10.8739428111,0,0,0,0,0.52118857752423,0.771001187912492,0.808428138430217,51591769766,238867.29,Female
Centro-Oeste,SANTA MARIA,274411,28.406295666,17.6742185991,3.7826471971,0.1056808947,1.3738516313,0.8928213519,0.709380811651896,0.717776039864183,0.808210762219788,878903574,206352.95,Female
Centro-Oeste,SANTANA DO LIVRAMENTO,83494,19.7738759671,13.3063453661,1.2695523032,0.1077921767,1.4132752054,0.4670994323,0.645536048615229,0.595324786733639,0.753710565166698,879667135,59495.58,Female
Centro-Oeste,SANTIAGO,50472,18.8421302901,11.5311459819,0.9906482802,0.0792518624,1.1095260739,1.5255983516,0.735825985732753,0.64580325722353,0.817649191644318,6449900703,73850.36,Female
Centro-Oeste,SAO FRANCISCO DE ASSIS,18945,13.7767220903,11.0319345474,0.2111375033,0,0.1055687516,0.2639218791,0.644683567601832,0.578644917175634,0.812984678585798,2353769298,66610.07,Female
Centro-Oeste,SAO GABRIEL,62069,16.4494353059,11.9061044966,1.0311105383,0.0644444086,0.5799996778,0.6927773929,0.583319003939299,0.617289098497711,0.772139470804202,9944255023,85801.44,Female
Centro-Oeste,SAO JOAO DO POLESINE,2729,7.3286918285,6.2293880542,0,0.3664345914,0,0,0.761067403201184,0.67312119747089,0.854726052549113,396886656,84545.41,Female
Centro-Oeste,SAO MARTINHO DA SERRA,3132,22.6692209451,21.711366539,0,0,0,0,0.513955731146247,0.711187270094434,0.841862317519998,908376312,169757.53,Female
